<version>,<mean_time>,<total>
0,0.00107692,0.014
1,0.00823077,0.107
2,0.0108462,0.141
3,0.015,0.195
4,0.0178462,0.232
5,0.0191538,0.249
6,0.0233077,0.303
7,0.0264615,0.344
8,0.0303846,0.395
9,0.0326923,0.425
10,0.0368462,0.479
11,0.0410769,0.534
12,0.0435385,0.566
13,0.048,0.624
14,0.0550769,0.716
15,0.0592308,0.77
16,0.0655385,0.852
17,0.071,0.923
18,0.0742308,0.965
19,0.081,1.053
20,0.0841538,1.094
21,0.0903846,1.175
22,0.0930769,1.21
23,0.102462,1.332
24,0.104538,1.359
25,0.110462,1.436
26,0.112846,1.467
27,0.116462,1.514
28,0.124154,1.614
29,0.130923,1.702
30,0.136231,1.771
31,0.141846,1.844
32,0.147923,1.923
33,0.155692,2.024
34,0.162154,2.108
35,0.167769,2.181
36,0.172385,2.241
37,0.179769,2.337
38,0.184538,2.399
39,0.190308,2.474
40,0.195538,2.542
41,0.201077,2.614
42,0.206308,2.682
43,0.211,2.743
44,0.216692,2.817
45,0.222462,2.892
46,0.226308,2.942
47,0.235154,3.057
48,0.238615,3.102
49,0.242538,3.153
50,0.245154,3.187
51,0.249846,3.248
52,0.255923,3.327
53,0.265231,3.448
54,0.269154,3.499
55,0.272769,3.546
56,0.279308,3.631
57,0.286077,3.719
58,0.295615,3.843
59,0.300538,3.907
60,0.300154,3.902
61,0.319308,4.151
62,0.316692,4.117
63,0.325077,4.226
64,0.327846,4.262
65,0.336231,4.371
66,0.341,4.433
67,0.344385,4.477
68,0.352077,4.577
69,0.361769,4.703
70,0.362692,4.715
71,0.370615,4.818
72,0.382077,4.967
73,0.385615,5.013
74,0.386846,5.029
75,0.398615,5.182
76,0.398615,5.182
77,0.404846,5.263
78,0.414077,5.383
79,0.417231,5.424
80,0.426769,5.548
81,0.425308,5.529
82,0.429846,5.588
83,0.438769,5.704
84,0.449769,5.847
85,0.461615,6.001
86,0.463308,6.023
87,0.465,6.045
