<version>,<mean_time>,<total>
0,0.552245,27.06
1,0.527388,25.842
2,0.509061,24.944
3,0.508041,24.894
4,0.514347,25.203
5,0.498571,24.43
6,0.483082,23.671
7,0.504796,24.735
8,0.484306,23.731
9,0.487143,23.87
10,0.507286,24.857
11,0.486082,23.818
12,0.485837,23.806
13,0.511857,25.081
14,0.49198,24.107
15,0.500163,24.508
16,0.525612,25.755
17,0.503265,24.66
18,0.505143,24.752
19,0.507592,24.872
20,0.500633,24.531
21,0.511163,25.047
22,0.503816,24.687
23,0.511755,25.076
24,0.507367,24.861
25,0.518,25.382
26,0.511102,25.044
27,0.515408,25.255
28,0.517204,25.343
29,0.543122,26.613
30,0.517776,25.371
31,0.518592,25.411
32,0.538327,26.378
33,0.518184,25.391
34,0.523653,25.659
35,0.542796,26.597
36,0.521163,25.537
37,0.521286,25.543
38,0.548306,26.867
39,0.527286,25.837
40,0.527816,25.863
41,0.551878,27.042
42,0.532143,26.075
43,0.527571,25.851
44,0.565408,27.705
45,0.543673,26.64
46,0.537959,26.36
47,0.537816,26.353
48,0.535469,26.238
49,0.53902,26.412
50,0.535571,26.243
51,0.535571,26.243
52,0.54198,26.557
53,0.536714,26.299
54,0.536612,26.294
55,0.543245,26.619
56,0.541286,26.523
57,0.538796,26.401
58,0.539224,26.422
59,0.54151,26.534
60,0.543102,26.612
61,0.54349,26.631
62,0.543245,26.619
63,0.546122,26.76
64,0.546714,26.789
65,0.549796,26.94
66,0.544408,26.676
67,0.548673,26.885
68,0.548633,26.883
69,0.547633,26.834
70,0.548429,26.873
71,0.551612,27.029
72,0.551755,27.036
73,0.555592,27.224
74,0.555327,27.211
75,0.55349,27.121
76,0.557714,27.328
77,0.554429,27.167
78,0.556265,27.257
79,0.555837,27.236
80,0.562143,27.545
81,0.56202,27.539
82,0.55598,27.243
83,0.559816,27.431
84,0.560612,27.47
85,0.558286,27.356
86,0.56051,27.465
87,0.55602,27.245
