<version>,<mean_time>,<total>
0,0.0400769,0.521
1,0.0353846,0.46
2,0.0356923,0.464
3,0.0356923,0.464
4,0.0358462,0.466
5,0.0348462,0.453
6,0.0345385,0.449
7,0.0356923,0.464
8,0.0352308,0.458
9,0.0345385,0.449
10,0.0347692,0.452
11,0.0354615,0.461
12,0.0359231,0.467
13,0.0361538,0.47
14,0.0359231,0.467
15,0.0367692,0.478
16,0.0383846,0.499
17,0.0366923,0.477
18,0.0352308,0.458
19,0.0371538,0.483
20,0.0334615,0.435
21,0.0348462,0.453
22,0.0344615,0.448
23,0.0343846,0.447
24,0.0353077,0.459
25,0.0341538,0.444
26,0.0360769,0.469
27,0.0356154,0.463
28,0.0340769,0.443
29,0.0327692,0.426
30,0.0339231,0.441
31,0.0336923,0.438
32,0.0349231,0.454
33,0.0352308,0.458
34,0.0361538,0.47
35,0.0345385,0.449
36,0.0350769,0.456
37,0.0338462,0.44
38,0.0347692,0.452
39,0.0356923,0.464
40,0.0354615,0.461
41,0.0338462,0.44
42,0.0332308,0.432
43,0.0359231,0.467
44,0.0329231,0.428
45,0.0333077,0.433
46,0.0341538,0.444
47,0.035,0.455
48,0.0341538,0.444
49,0.0343846,0.447
50,0.0352308,0.458
51,0.0346154,0.45
52,0.0332308,0.432
53,0.0330769,0.43
54,0.035,0.455
55,0.0349231,0.454
56,0.0333077,0.433
57,0.0329231,0.428
58,0.033,0.429
59,0.0326154,0.424
60,0.0331538,0.431
61,0.0341538,0.444
62,0.0333077,0.433
63,0.0332308,0.432
64,0.0325385,0.423
65,0.0333077,0.433
66,0.0323077,0.42
67,0.0331538,0.431
68,0.032,0.416
69,0.0332308,0.432
70,0.0332308,0.432
71,0.0333846,0.434
72,0.0326923,0.425
73,0.0313846,0.408
74,0.0336154,0.437
75,0.0329231,0.428
76,0.031,0.403
77,0.0330769,0.43
78,0.0318462,0.414
79,0.0333077,0.433
80,0.0338462,0.44
81,0.0338462,0.44
82,0.0330769,0.43
83,0.0330769,0.43
84,0.0330769,0.43
85,0.0334615,0.435
86,0.034,0.442
87,0.0328462,0.427
