<version>,<mean_time>,<total>
0,0.0012449,0.061
1,0.00489796,0.24
2,0.00653061,0.32
3,0.00838776,0.411
4,0.0132653,0.65
5,0.0106735,0.523
6,0.0146122,0.716
7,0.0143878,0.705
8,0.0155306,0.761
9,0.0171224,0.839
10,0.0187755,0.92
11,0.0203673,0.998
12,0.0214694,1.052
13,0.0235918,1.156
14,0.0248367,1.217
15,0.0287755,1.41
16,0.0302449,1.482
17,0.029898,1.465
18,0.0310408,1.521
19,0.0320408,1.57
20,0.0339592,1.664
21,0.0369184,1.809
22,0.0383878,1.881
23,0.0398163,1.951
24,0.0415714,2.037
25,0.0429388,2.104
26,0.0449592,2.203
27,0.0467551,2.291
28,0.048102,2.357
29,0.0495306,2.427
30,0.0512449,2.511
31,0.0527347,2.584
32,0.0542041,2.656
33,0.0559592,2.742
34,0.057449,2.815
35,0.0590816,2.895
36,0.061102,2.994
37,0.0627347,3.074
38,0.0639592,3.134
39,0.0658163,3.225
40,0.0673265,3.299
41,0.0690816,3.385
42,0.0702245,3.441
43,0.0724898,3.552
44,0.0768776,3.767
45,0.0843469,4.133
46,0.087102,4.268
47,0.0901429,4.417
48,0.0942857,4.62
49,0.102653,5.03
50,0.10651,5.219
51,0.108939,5.338
52,0.111755,5.476
53,0.113714,5.572
54,0.118918,5.827
55,0.125061,6.128
56,0.129367,6.339
57,0.129816,6.361
58,0.132122,6.474
59,0.136694,6.698
60,0.137653,6.745
61,0.139204,6.821
62,0.142245,6.97
63,0.146673,7.187
64,0.149571,7.329
65,0.151755,7.436
66,0.154122,7.552
67,0.155878,7.638
68,0.157918,7.738
69,0.162612,7.968
70,0.167612,8.213
71,0.170224,8.341
72,0.170327,8.346
73,0.172612,8.458
74,0.174898,8.57
75,0.178571,8.75
76,0.180265,8.833
77,0.182408,8.938
78,0.185959,9.112
79,0.189082,9.265
80,0.191347,9.376
81,0.193469,9.48
82,0.196041,9.606
83,0.199469,9.774
84,0.202612,9.928
85,0.207592,10.172
86,0.209265,10.254
87,0.212449,10.41
88,0.21398,10.485
89,0.218408,10.702
90,0.220163,10.788
91,0.224102,10.981
92,0.228286,11.186
93,0.232408,11.388
94,0.234102,11.471
95,0.235796,11.554
96,0.237959,11.66
97,0.240143,11.767
98,0.242306,11.873
99,0.247653,12.135
100,0.253592,12.426
101,0.255694,12.529
102,0.259041,12.693
103,0.260122,12.746
104,0.265449,13.007
105,0.267592,13.112
106,0.268959,13.179
107,0.272408,13.348
108,0.276286,13.538
109,0.278469,13.645
110,0.282,13.818
111,0.284735,13.952
112,0.285408,13.985
