##bucket, min, mean, max, stddev, count, total
0 1.0 1.8333333333333335 4.0 1.1690451944500122 6 11.0
1 1.0 3.1666666666666665 7.0 2.041241452319315 6 19.0
2 1.0 3.6666666666666665 7.0 2.160246899469287 6 22.0
3 1.0 4.166666666666667 7.0 2.136976056643281 6 25.0
4 3.0 5.0 9.0 2.280350850198276 6 30.0
5 3.0 5.166666666666667 9.0 2.714160398109638 6 31.0
6 3.0 6.166666666666667 9.0 2.316606713852541 6 37.0
7 4.0 6.5 10.0 2.588435821108957 6 39.0
8 4.0 6.166666666666667 10.0 2.316606713852541 6 37.0
9 4.0 6.0 9.0 2.0 6 36.0
tot,1.0,4.783333333333335,10.0,2.5116114529113545,60
