##bucket, min, mean, max, stddev, count, total
0 0.0 2.195652173913044 11.0 2.187028071936803 46 101.0
1 0.0 2.369565217391304 8.0 1.889840624111214 46 109.0
2 0.0 3.0 11.0 2.3285665595430642 46 138.0
3 0.0 3.630434782608696 16.0 3.028448048843014 46 167.0
4 0.0 5.630434782608696 77.0 11.227661665432828 46 259.0
5 0.0 4.673913043478261 14.0 3.412749610414108 46 215.0
6 0.0 5.217391304347826 14.0 3.638760738238353 46 240.0
7 1.0 5.8478260869565215 17.0 4.221465734417361 46 269.0
8 1.0 6.5434782608695645 18.0 4.607754438572393 46 301.0
9 1.0 5.58695652173913 17.0 4.161068703304861 46 257.0
tot,0.0,4.469565217391304,77.0,4.976321692608905,460
