##ver, min, mean, max, stddev, count, total
0 0.0 0.52 2.0 0.5799366608624126 50 26.0
1 0.0 0.39999999999999986 3.0 0.6700593942604899 50 20.0
2 0.0 0.6 3.0 0.6700593942604898 50 30.0
3 0.0 0.6400000000000002 3.0 0.6627093431281833 50 32.0
4 0.0 0.7600000000000001 3.0 0.7708992893275455 50 38.0
5 0.0 0.9400000000000004 4.0 0.8900813996254405 50 47.0
6 0.0 1.0200000000000002 4.0 0.8204030865920701 50 51.0
7 0.0 2.2200000000000006 56.0 7.812313671247413 50 111.0
8 0.0 1.1599999999999997 6.0 1.0372648491812189 50 58.0
9 0.0 1.3199999999999998 6.0 1.1856282240712255 50 66.0
