##bucket, min, mean, max, stddev, count, total
0 1.0 3.391304347826088 18.0 2.7687001432245775 46 156.0
1 0.0 2.0 8.0 1.2292725943057183 46 92.0
2 1.0 2.0217391304347823 7.0 1.1252482281164573 46 93.0
3 1.0 2.217391304347826 6.0 1.0091370015625754 46 102.0
4 1.0 2.0869565217391304 6.0 1.0504197458692774 46 96.0
5 0.0 1.826086956521739 4.0 0.7394997656400187 46 84.0
6 1.0 1.9565217391304348 5.0 0.9417836915869434 46 90.0
7 1.0 2.0217391304347823 6.0 0.9997584249270222 46 93.0
8 1.0 2.0217391304347823 6.0 0.9997584249270222 46 93.0
9 0.0 1.0217391304347825 3.0 0.6494144519756108 46 47.0
tot,0.0,2.056521739130437,18.0,1.3803242607756514,460
