##ver, min, mean, max, stddev, count, total
0 2.0 5.833333333333333 13.0 5.192943930629972 6 35.0
1 1.0 3.833333333333333 10.0 3.311595788538611 6 23.0
2 2.0 4.333333333333333 10.0 3.011090610836324 6 26.0
3 2.0 3.833333333333333 9.0 2.6394443859772205 6 23.0
4 2.0 3.833333333333333 8.0 2.562550812504343 6 23.0
5 2.0 4.166666666666667 9.0 3.0605010483034745 6 25.0
6 2.0 3.3333333333333335 7.0 1.96638416050035 6 20.0
7 2.0 3.5 7.0 2.073644135332772 6 21.0
8 2.0 3.5 8.0 2.345207879911715 6 21.0
9 2.0 3.666666666666667 8.0 2.250925735484551 6 22.0
