##ver, min, mean, max, stddev, count, total
0 0.0 0.3599999999999999 2.0 0.5252793231671496 50 18.0
1 0.0 0.3800000000000001 2.0 0.5303060340934456 50 19.0
2 0.0 0.21999999999999995 1.0 0.4184519575964803 50 11.0
3 0.0 0.32000000000000006 1.0 0.47121207149916117 50 16.0
4 0.0 0.19999999999999996 1.0 0.4040610178208843 50 10.0
5 0.0 0.2600000000000001 1.0 0.4430874976934521 50 13.0
6 0.0 0.33999999999999997 1.0 0.47851812069840666 50 17.0
7 0.0 0.2600000000000002 1.0 0.44308749769345207 50 13.0
8 0.0 0.23999999999999988 1.0 0.43141911058690013 50 12.0
9 0.0 0.26000000000000006 1.0 0.44308749769345207 50 13.0
