##bucket, min, mean, max, stddev, count, total
0 0.0 0.6923076923076922 3.0 0.8548504142651104 13 9.0
1 0.0 0.5384615384615384 1.0 0.5188745216627708 13 7.0
2 0.0 0.4615384615384615 1.0 0.5188745216627709 13 6.0
3 0.0 0.23076923076923073 1.0 0.4385290096535146 13 3.0
4 0.0 0.46153846153846156 1.0 0.5188745216627708 13 6.0
5 0.0 0.4615384615384615 1.0 0.5188745216627709 13 6.0
6 0.0 0.3076923076923077 1.0 0.48038446141526137 13 4.0
7 0.0 0.23076923076923075 1.0 0.4385290096535146 13 3.0
8 0.0 0.23076923076923075 1.0 0.4385290096535146 13 3.0
9 0.0 0.6153846153846154 1.0 0.5063696835418334 13 8.0
10 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
11 0.0 0.30769230769230765 1.0 0.48038446141526137 13 4.0
12 0.0 0.46153846153846156 1.0 0.5188745216627708 13 6.0
13 0.0 0.23076923076923075 1.0 0.43852900965351466 13 3.0
14 0.0 0.23076923076923073 1.0 0.4385290096535146 13 3.0
15 0.0 0.15384615384615385 1.0 0.3755338080994053 13 2.0
16 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
17 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
18 0.0 0.0 0.0 0.0 13 0.0
19 0.0 0.30769230769230765 1.0 0.48038446141526137 13 4.0
20 0.0 0.4615384615384615 1.0 0.5188745216627709 13 6.0
21 0.0 0.15384615384615385 1.0 0.3755338080994053 13 2.0
22 0.0 0.23076923076923073 1.0 0.43852900965351466 13 3.0
23 0.0 0.5384615384615384 1.0 0.5188745216627708 13 7.0
24 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
25 0.0 0.23076923076923073 1.0 0.43852900965351466 13 3.0
26 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
27 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
28 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
29 0.0 0.23076923076923075 1.0 0.4385290096535146 13 3.0
30 0.0 0.23076923076923073 1.0 0.4385290096535146 13 3.0
31 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
32 0.0 0.3076923076923077 1.0 0.48038446141526137 13 4.0
33 0.0 0.23076923076923073 1.0 0.43852900965351466 13 3.0
34 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
35 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
36 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
37 0.0 0.07692307692307696 1.0 0.2773500981126146 13 1.0
38 0.0 0.5384615384615385 1.0 0.5188745216627708 13 7.0
39 0.0 0.3076923076923077 1.0 0.48038446141526137 13 4.0
40 0.0 0.23076923076923073 1.0 0.43852900965351466 13 3.0
41 0.0 0.23076923076923075 1.0 0.4385290096535146 13 3.0
42 0.0 0.23076923076923073 1.0 0.4385290096535146 13 3.0
43 0.0 0.3076923076923077 1.0 0.48038446141526137 13 4.0
44 0.0 0.4615384615384615 1.0 0.5188745216627708 13 6.0
45 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
46 0.0 0.15384615384615385 1.0 0.37553380809940534 13 2.0
47 0.0 0.15384615384615385 1.0 0.37553380809940534 13 2.0
48 0.0 0.4615384615384615 1.0 0.5188745216627709 13 6.0
49 0.0 0.3076923076923077 1.0 0.48038446141526137 13 4.0
50 0.0 0.15384615384615385 1.0 0.3755338080994053 13 2.0
51 0.0 0.3076923076923077 1.0 0.48038446141526137 13 4.0
52 0.0 0.15384615384615385 1.0 0.37553380809940534 13 2.0
53 0.0 0.23076923076923073 1.0 0.43852900965351466 13 3.0
54 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
55 0.0 0.3076923076923077 1.0 0.48038446141526137 13 4.0
56 0.0 0.23076923076923073 1.0 0.4385290096535146 13 3.0
57 0.0 0.23076923076923073 1.0 0.4385290096535146 13 3.0
58 0.0 0.38461538461538464 1.0 0.5063696835418333 13 5.0
59 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
60 0.0 0.23076923076923073 1.0 0.43852900965351466 13 3.0
61 0.0 0.4615384615384615 1.0 0.5188745216627708 13 6.0
62 0.0 0.15384615384615385 1.0 0.3755338080994053 13 2.0
63 0.0 0.15384615384615385 1.0 0.3755338080994054 13 2.0
64 0.0 0.23076923076923073 1.0 0.4385290096535146 13 3.0
65 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
66 0.0 0.23076923076923075 1.0 0.4385290096535146 13 3.0
67 0.0 0.30769230769230765 1.0 0.48038446141526137 13 4.0
68 0.0 0.46153846153846156 1.0 0.5188745216627708 13 6.0
69 0.0 0.15384615384615385 1.0 0.37553380809940534 13 2.0
70 0.0 0.07692307692307696 1.0 0.2773500981126146 13 1.0
71 0.0 0.46153846153846156 1.0 0.5188745216627708 13 6.0
72 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
73 0.0 0.15384615384615385 1.0 0.3755338080994053 13 2.0
74 0.0 0.3076923076923077 1.0 0.48038446141526137 13 4.0
75 0.0 0.3076923076923077 1.0 0.48038446141526137 13 4.0
76 0.0 0.23076923076923073 1.0 0.4385290096535146 13 3.0
77 0.0 0.23076923076923073 2.0 0.599144689515278 13 3.0
78 0.0 0.3076923076923077 1.0 0.48038446141526137 13 4.0
79 0.0 0.07692307692307696 1.0 0.2773500981126146 13 1.0
80 0.0 0.07692307692307696 1.0 0.2773500981126146 13 1.0
81 0.0 0.30769230769230765 1.0 0.48038446141526137 13 4.0
82 0.0 0.3076923076923077 1.0 0.48038446141526137 13 4.0
83 0.0 0.23076923076923073 1.0 0.4385290096535146 13 3.0
84 0.0 0.23076923076923075 1.0 0.4385290096535146 13 3.0
85 0.0 0.23076923076923073 1.0 0.4385290096535146 13 3.0
86 0.0 0.15384615384615385 1.0 0.3755338080994054 13 2.0
87 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
88 0.0 0.0 0.0 0.0 13 0.0
tot,0.0,0.2990492653414015,3.0,0.4655325430180855,1157
