##bucket, min, mean, max, stddev, count, total
0 0.0 0.38461538461538464 3.0 0.869718492622904 13 5.0
1 0.0 0.1538461538461539 2.0 0.5547001962252291 13 2.0
2 0.0 0.23076923076923075 1.0 0.4385290096535146 13 3.0
3 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
4 0.0 0.23076923076923073 2.0 0.599144689515278 13 3.0
5 0.0 0.23076923076923075 2.0 0.599144689515278 13 3.0
6 0.0 0.38461538461538464 1.0 0.5063696835418334 13 5.0
7 0.0 0.1538461538461539 2.0 0.5547001962252291 13 2.0
8 0.0 0.38461538461538464 2.0 0.650443635587991 13 5.0
9 0.0 0.6153846153846154 2.0 0.6504436355879909 13 8.0
10 0.0 0.5384615384615385 2.0 0.6602252917735246 13 7.0
11 0.0 0.6153846153846154 3.0 0.869718492622904 13 8.0
12 0.0 0.5384615384615385 2.0 0.6602252917735246 13 7.0
13 0.0 0.6153846153846154 2.0 0.6504436355879909 13 8.0
14 0.0 0.6153846153846154 3.0 0.869718492622904 13 8.0
15 0.0 0.6923076923076922 3.0 0.8548504142651104 13 9.0
16 0.0 0.6153846153846154 2.0 0.6504436355879909 13 8.0
17 0.0 0.6923076923076923 2.0 0.6304251719561151 13 9.0
18 0.0 0.6153846153846154 3.0 0.869718492622904 13 8.0
19 0.0 0.846153846153846 3.0 0.8006407690254357 13 11.0
20 0.0 0.923076923076923 3.0 0.7595545253127501 13 12.0
21 0.0 0.6923076923076923 3.0 0.8548504142651101 13 9.0
22 0.0 0.923076923076923 3.0 0.7595545253127501 13 12.0
23 0.0 0.846153846153846 3.0 0.8006407690254357 13 11.0
24 0.0 1.0 3.0 0.7071067811865476 13 13.0
25 0.0 0.7692307692307693 3.0 0.8320502943378436 13 10.0
26 0.0 1.0 4.0 1.0 13 13.0
27 0.0 1.1538461538461537 4.0 0.8987170342729167 13 15.0
28 0.0 1.0769230769230769 4.0 0.9540735874430287 13 14.0
29 0.0 1.0 4.0 1.0 13 13.0
30 0.0 0.923076923076923 3.0 0.7595545253127501 13 12.0
31 0.0 1.0 4.0 1.0 13 13.0
32 0.0 1.0769230769230769 4.0 0.9540735874430287 13 14.0
33 0.0 1.0769230769230769 4.0 0.9540735874430287 13 14.0
34 1.0 1.2307692307692308 4.0 0.8320502943378436 13 16.0
35 1.0 1.3076923076923077 3.0 0.630425171956115 13 17.0
36 1.0 1.2307692307692308 4.0 0.8320502943378436 13 16.0
37 1.0 1.3846153846153846 5.0 1.1208970766356097 13 18.0
38 1.0 1.3846153846153846 5.0 1.1208970766356097 13 18.0
39 1.0 1.3076923076923077 4.0 0.8548504142651104 13 17.0
40 1.0 1.4615384615384615 4.0 0.8770580193070292 13 19.0
41 1.0 1.4615384615384615 4.0 0.8770580193070292 13 19.0
42 1.0 1.5384615384615385 5.0 1.1266014242982163 13 20.0
43 1.0 1.4615384615384615 5.0 1.1266014242982163 13 19.0
44 1.0 1.7692307692307692 5.0 1.091928428198338 13 23.0
45 1.0 1.3846153846153846 5.0 1.1208970766356097 13 18.0
46 1.0 1.5384615384615385 5.0 1.1266014242982163 13 20.0
47 1.0 1.7692307692307692 5.0 1.091928428198338 13 23.0
48 1.0 1.3846153846153846 5.0 1.1208970766356097 13 18.0
49 1.0 2.0 5.0 1.0 13 26.0
50 1.0 1.5384615384615385 5.0 1.1266014242982163 13 20.0
51 1.0 2.0 6.0 1.2909944487358056 13 26.0
52 1.0 1.7692307692307692 6.0 1.3634420996046581 13 23.0
53 1.0 1.923076923076923 6.0 1.3204505835470497 13 25.0
54 1.0 1.923076923076923 7.0 1.6052797503622467 13 25.0
55 1.0 2.0 7.0 1.5811388300841898 13 26.0
56 1.0 2.076923076923077 6.0 1.255755978254962 13 27.0
57 1.0 2.076923076923077 7.0 1.5525000516123697 13 27.0
58 1.0 2.1538461538461537 6.0 1.2142318453899053 13 28.0
59 1.0 2.076923076923077 6.0 1.255755978254962 13 27.0
60 1.0 2.0 7.0 1.5811388300841898 13 26.0
61 1.0 2.3076923076923075 8.0 1.7504578155735608 13 30.0
62 1.0 2.230769230769231 7.0 1.4806443503784732 13 29.0
63 1.0 2.230769230769231 7.0 1.4806443503784732 13 29.0
64 1.0 2.153846153846154 8.0 1.8187062180825984 13 28.0
65 1.0 2.153846153846154 8.0 1.8187062180825984 13 28.0
66 1.0 2.3076923076923075 7.0 1.4366984945013914 13 30.0
67 1.0 2.4615384615384617 8.0 1.7134460703206962 13 32.0
68 1.0 2.3076923076923075 8.0 1.7504578155735608 13 30.0
69 1.0 2.3846153846153846 8.0 1.7097008285302202 13 31.0
70 1.0 2.5384615384615383 8.0 1.7134460703206957 13 33.0
71 2.0 2.5384615384615383 9.0 1.9414506867883015 13 33.0
72 2.0 2.5384615384615383 8.0 1.664100588675687 13 33.0
73 2.0 2.6923076923076925 9.0 1.9315199276138026 13 35.0
74 2.0 2.6923076923076925 9.0 1.9315199276138026 13 35.0
75 2.0 2.6153846153846154 8.0 1.660244035197915 13 34.0
76 2.0 2.769230769230769 8.0 1.640825308284734 13 36.0
77 2.0 2.6153846153846154 8.0 1.660244035197915 13 34.0
78 2.0 2.4615384615384617 6.0 1.1266014242982163 13 32.0
79 2.0 2.6153846153846154 6.0 1.12089707663561 13 34.0
80 2.0 2.6923076923076925 7.0 1.3774744634423888 13 35.0
81 2.0 2.769230769230769 8.0 1.640825308284734 13 36.0
82 2.0 2.6153846153846154 7.0 1.3867504905630723 13 34.0
83 2.0 2.923076923076923 7.0 1.3204505835470497 13 38.0
84 2.0 2.6153846153846154 6.0 1.12089707663561 13 34.0
85 2.0 2.8461538461538463 6.0 1.0681880176381127 13 37.0
86 2.0 2.6153846153846154 6.0 1.12089707663561 13 34.0
87 2.0 2.6923076923076925 6.0 1.1094003924504585 13 35.0
88 2.0 2.6923076923076925 6.0 1.1094003924504585 13 35.0
89 2.0 3.1538461538461537 7.0 1.2142318453899055 13 41.0
90 2.0 2.6923076923076925 6.0 1.1821319289469758 13 35.0
91 2.0 3.0 5.0 0.7071067811865476 13 39.0
92 2.0 2.923076923076923 4.0 0.4935481167928245 13 38.0
93 2.0 2.6153846153846154 5.0 0.869718492622904 13 34.0
94 2.0 2.8461538461538463 4.0 0.5547001962252293 13 37.0
95 2.0 2.8461538461538463 4.0 0.5547001962252291 13 37.0
96 2.0 3.0 5.0 0.7071067811865476 13 39.0
97 2.0 3.1538461538461537 6.0 0.9870962335856489 13 41.0
98 2.0 3.076923076923077 6.0 1.0377490433255416 13 40.0
99 2.0 3.1538461538461537 6.0 0.9870962335856489 13 41.0
100 2.0 3.0 6.0 1.0 13 39.0
101 2.0 2.923076923076923 6.0 1.0377490433255416 13 38.0
102 2.0 2.769230769230769 4.0 0.5991446895152781 13 36.0
103 2.0 3.0 4.0 0.408248290463863 13 39.0
104 2.0 3.076923076923077 4.0 0.6405126152203485 13 40.0
105 3.0 3.076923076923077 4.0 0.2773500981126146 13 40.0
106 3.0 3.230769230769231 4.0 0.4385290096535146 13 42.0
107 3.0 3.1538461538461537 4.0 0.3755338080994054 13 41.0
108 3.0 3.1538461538461537 4.0 0.3755338080994054 13 41.0
109 3.0 3.1538461538461537 4.0 0.37553380809940534 13 41.0
110 3.0 3.1538461538461537 4.0 0.37553380809940534 13 41.0
111 3.0 3.230769230769231 4.0 0.4385290096535146 13 42.0
112 3.0 3.230769230769231 5.0 0.599144689515278 13 42.0
113 3.0 3.230769230769231 4.0 0.4385290096535146 13 42.0
114 3.0 3.6153846153846154 5.0 0.6504436355879909 13 47.0
115 3.0 3.4615384615384617 4.0 0.5188745216627708 13 45.0
116 3.0 6.153846153846154 38.0 9.59032632262109 13 80.0
117 3.0 3.6153846153846154 5.0 0.6504436355879909 13 47.0
118 3.0 3.4615384615384617 5.0 0.6602252917735248 13 45.0
119 3.0 3.6153846153846154 5.0 0.6504436355879909 13 47.0
120 3.0 3.5384615384615383 4.0 0.5188745216627708 13 46.0
121 3.0 3.5384615384615383 4.0 0.5188745216627708 13 46.0
122 3.0 3.5384615384615383 5.0 0.6602252917735248 13 46.0
123 3.0 3.769230769230769 5.0 0.5991446895152781 13 49.0
124 3.0 3.6153846153846154 4.0 0.5063696835418333 13 47.0
125 3.0 3.6153846153846154 5.0 0.6504436355879909 13 47.0
126 3.0 3.769230769230769 4.0 0.4385290096535146 13 49.0
127 3.0 10.692307692307692 91.0 24.136364733822337 13 139.0
128 3.0 3.6153846153846154 5.0 0.6504436355879909 13 47.0
129 3.0 3.8461538461538463 5.0 0.5547001962252291 13 50.0
130 3.0 4.076923076923077 5.0 0.4935481167928245 13 53.0
131 3.0 4.0 5.0 0.5773502691896257 13 52.0
132 3.0 4.0 5.0 0.5773502691896257 13 52.0
133 3.0 4.076923076923077 5.0 0.49354811679282445 13 53.0
134 3.0 4.0 5.0 0.408248290463863 13 52.0
135 3.0 3.923076923076923 5.0 0.4935481167928245 13 51.0
136 3.0 3.923076923076923 5.0 0.6405126152203485 13 51.0
137 3.0 3.923076923076923 5.0 0.6405126152203485 13 51.0
138 3.0 4.076923076923077 5.0 0.49354811679282456 13 53.0
139 3.0 4.076923076923077 5.0 0.49354811679282456 13 53.0
140 3.0 4.153846153846154 5.0 0.6887372317211945 13 54.0
141 4.0 4.230769230769231 5.0 0.4385290096535146 13 55.0
142 4.0 4.384615384615385 5.0 0.5063696835418332 13 57.0
143 4.0 4.230769230769231 5.0 0.4385290096535146 13 55.0
144 4.0 4.230769230769231 5.0 0.4385290096535146 13 55.0
145 4.0 4.384615384615385 5.0 0.5063696835418332 13 57.0
146 4.0 4.615384615384615 6.0 0.7679476477883044 13 60.0
147 4.0 4.3076923076923075 5.0 0.4803844614152615 13 56.0
148 4.0 4.384615384615385 5.0 0.5063696835418332 13 57.0
149 4.0 4.538461538461538 5.0 0.5188745216627708 13 59.0
150 4.0 4.384615384615385 6.0 0.6504436355879908 13 57.0
